,Player Name,Seasons in NBA,First Season Played,Last Season Played
0,Michael Ansley,3,1990,1992
1,Keith Askins,9,1991,1999
2,Carl Bailey,1,1982,1982
3,Charles Barkley,16,1985,2000
4,Eric Bledsoe,12,2011,2022
5,Tom Boswell,6,1976,1984
6,David Bustion,1,1973,1973
7,Al Butler,4,1962,1965
8,Jason Caffey,8,1996,2003
9,DeMarre Carroll,11,2010,2020
10,Bobby Cattage,2,1982,1986
11,Derrick Coleman,15,1991,2005
12,DeMarcus Cousins,11,2011,2022
13,Michael Curry,11,1994,2005
14,Fennis Dembo,1,1989,1989
15,John Douglas,2,1982,1983
16,Leon Douglas,7,1977,1983
17,John Drew,11,1975,1985
18,T.R. Dunn,14,1978,1991
19,Jim Farmer,5,1988,1994
20,Trent Forrest,2,2021,2022
21,Rod Foster,3,1984,1986
22,Mickell Gladness,1,2012,2012
23,Orlando Graham,1,1989,1989
24,Travis Grant,4,1973,1976
25,JaMychal Green,8,2015,2022
26,Lamar Green,6,1970,1975
27,Donta Hall,2,2020,2021
28,Darrin Hancock,3,1995,1997
29,Cecil Hankins,2,1947,1948
30,James Hardy,4,1979,1982
31,Johnny High,4,1980,1984
32,Cedrick Hordges,2,1981,1982
33,Robert Horry,16,1993,2008
34,Elvin Ivory,1,1969,1969
35,Stanley Jackson,1,1994,1994
36,Henry James,7,1991,1998
37,Buck Johnson,7,1987,1993
38,Ken Johnson,1,1986,1986
39,Nate Johnston,1,1990,1990
40,Edgar Jones,6,1981,1986
41,Herbert Jones,1,2022,2022
42,Walter Jordan,1,1981,1981
43,Larry Kenon,10,1974,1983
44,Warren Kidd,1,1994,1994
45,Stan Kimbrough,2,1990,1993
46,Reggie King,6,1980,1985
47,Antonio Lang,6,1995,2000
48,James Lang,1,2007,2007
49,Kira Lewis Jr.,2,2021,2022
50,Josh Magette,2,2018,2020
51,Jeff Malone,13,1984,1996
52,Keith McCord,1,1981,1981
53,K.J. McDaniels,3,2015,2017
54,George McGinnis,11,1972,1982
55,Thales McReynolds,1,1966,1966
56,Joe Meriweather,10,1976,1985
57,Larry Moffett,1,1978,1978
58,Jamario Moon,5,2008,2012
59,Xavier Moon,1,2022,2022
60,Allen Murphy,2,1976,1977
61,Pete Myers,9,1987,1998
62,Wiley Peck,1,1980,1980
63,Chuck Person,13,1987,2000
64,Wesley Person,11,1995,2005
65,Eddie Phillips,1,1983,1983
66,Stan Pietkiewicz,3,1979,1981
67,Chris Porter,1,2001,2001
68,Cal Ramsey,2,1960,1961
69,Theo Ratliff,16,1996,2011
70,Oliver Robinson,1,1983,1983
71,Roy Rogers,3,1997,2000
72,Curtis Rowe,8,1972,1979
73,Willie Scott,1,1970,1970
74,Walter Sharpe,1,2009,2009
75,Johnny Simmons,1,1947,1947
76,Doug Sims,1,1969,1969
77,Bud Stallworth,5,1973,1977
78,Erick Strickland,9,1997,2005
79,Craig Sword,1,2022,2022
80,Emanuel Terry,2,2019,2022
81,Andrew Toney,8,1981,1988
82,Ben Wallace,16,1997,2012
83,Gerald Wallace,14,2002,2015
84,Trendon Watford,1,2022,2022
85,Marcus Webb,1,1993,1993
86,Mario West,4,2008,2011
87,Ennis Whatley,10,1984,1997
88,D.J. White,6,2009,2014
89,Rory White,5,1983,1987
90,D.C. Wilcutt,2,1949,1950
91,Duck Williams,1,1980,1980
92,Mario Chalmers,9,2009,2018
93,Daishen Nix,1,2022,2022
94,Mark Alarie,5,1987,1991
95,Marvin Bagley III,4,2019,2022
96,Jerryd Bayless,11,2009,2019
97,Zylan Cheatham,2,2020,2022
98,Steve Colter,8,1985,1995
99,Bryce Cotton,2,2015,2016
100,Ron Davis,3,1977,1982
101,Sean Elliott,12,1990,2001
102,Nick Johnson,1,2015,2015
103,Kevin Knox,4,2019,2022
104,Perry Moss,2,1986,1987
105,Larry Owens,2,2011,2012
106,Wayne See,1,1950,1950
107,Bernard Thompson,5,1985,1989
108,Matisse Thybulle,3,2020,2022
109,Paul Watson,3,2020,2022
110,Alan Williams,4,2016,2019
111,James Anderson,5,2011,2016
112,Jim Barnes,7,1965,1971
113,Keljin Blevins,2,2021,2022
114,Leon Blevins,1,1951,1951
115,Ron Brewer,8,1979,1986
116,Marcus Brown,2,1997,2000
117,Bob Burrow,2,1957,1958
118,Michael Cage,15,1985,2000
119,Cory Carr,1,1999,1999
120,Joe Barry Carroll,10,1981,1991
121,Archie Clark,10,1967,1976
122,Nat Clifton,8,1951,1958
123,Mike Conley,15,2008,2022
124,John Dickson,1,1968,1968
125,Jeremy Evans,7,2011,2018
126,Derek Fisher,18,1997,2014
127,Daniel Gafford,3,2020,2022
128,Archie Goodwin,4,2014,2017
129,Dusty Hannahs,2,2019,2020
130,Myron Jackson,1,1987,1987
131,Isaiah Joe,2,2021,2022
132,Joe Johnson,18,2002,2022
133,Lee Johnson,1,1981,1981
134,Caldwell Jones,17,1974,1990
135,Charles Jones,15,1984,1998
136,Fred Jones,7,2003,2009
137,Major Jones,6,1980,1985
138,Wil Jones,9,1970,1978
139,Andrew Lang,12,1989,2000
140,Keith Lee,3,1986,1989
141,Fat Lever,11,1983,1994
142,Quincy Lewis,4,2000,2004
143,Daryl Macon,2,2019,2020
144,Brian Martin,1,1986,1986
145,Jeff Martin,2,1990,1991
146,Jim McElroy,7,1976,1982
147,Eddie Miles,9,1964,1972
148,Sidney Moncrief,11,1980,1991
149,Malik Monk,5,2018,2022
150,Moses Moody,1,2022,2022
151,Gaylon Nickerson,1,1997,1997
152,Dennis Nutt,1,1987,1987
153,Jimmy Oliver,5,1992,1999
154,Scottie Pippen,17,1988,2004
155,Bobby Portis,7,2016,2022
156,Austin Reaves,1,2022,2022
157,Bryant Reeves,6,1996,2001
158,Glen Rice,15,1990,2004
159,Jackie Ridgle,1,1972,1972
160,Jerry Rook,1,1970,1970
161,Paul Silas,16,1965,1980
162,Jeff Taylor,2,1983,1987
163,Jeff Webster,1,1996,1996
164,Sonny Weems,4,2009,2016
165,Corliss Williamson,12,1996,2007
166,Jasper Wilson,2,1969,1970
167,Alex Acker,2,2006,2009
168,Mark Acres,6,1988,1993
169,Hassan Adams,2,2007,2009
170,Rick Adelman,7,1969,1975
171,Arron Afflalo,11,2008,2018
172,Josh Akognon,1,2013,2013
173,Gary Alcorn,2,1960,1961
174,Jarrett Allen,5,2018,2022
175,Ray Allen,18,1997,2014
176,Darrell Allums,1,1981,1981
177,Lou Amundson,10,2007,2016
178,Chris Andersen,15,2002,2017
179,Richard Anderson,6,1983,1990
180,Ryan Anderson,12,2009,2020
181,Ike Anigbogu,2,2018,2019
182,Brandon Armstrong,3,2002,2004
183,Stacey Augmon,15,1992,2006
184,Isaac Austin,9,1992,2002
185,Ken Austin,1,1984,1984
186,Dennis Awtrey,12,1971,1982
187,Jeff Ayres,6,2010,2016
188,Toby Bailey,2,1999,2000
189,LaMelo Ball,2,2021,2022
190,Lonzo Ball,5,2018,2022
191,Greg Ballard,11,1978,1989
192,Don Barksdale,4,1952,1955
193,Matt Barnes,14,2004,2017
194,Drew Barry,3,1998,2000
195,Jon Barry,14,1993,2006
196,Mike Batiste,1,2003,2003
197,Jerome Beasley,1,2004,2004
198,Bob Bedell,4,1968,1971
199,Jordan Bell,5,2018,2022
200,Corey Benjamin,4,1999,2003
201,Jabari Bird,1,2018,2018
202,John Block,10,1967,1976
203,Corie Blount,11,1994,2004
204,Etdrick Bohannon,4,1998,2001
205,Bruce Bowen,13,1997,2009
206,Freddie Boyd,6,1973,1978
207,Cedric Bozeman,1,2007,2007
208,Craig Brackins,2,2011,2012
209,Torraye Braggs,2,2004,2005
210,Mike Bratz,9,1978,1986
211,Al Brightman,1,1947,1947
212,Scott Brooks,10,1989,1998
213,Anthony Brown,3,2016,2018
214,Bobby Brown,4,2009,2018
215,Darrel Brown,1,1949,1949
216,Derrick Brown,3,2010,2012
217,Gerald Brown,1,1999,1999
218,Jabari Brown,1,2015,2015
219,Lewis Brown,1,1981,1981
220,Chase Budinger,7,2010,2016
221,Jud Buechler,12,1991,2002
222,Greg Bunch,1,1979,1979
223,Greg Butler,3,1989,1991
224,Mitchell Butler,8,1994,2004
225,Bill Calhoun,7,1949,1955
226,Elden Campbell,15,1991,2005
227,Al Carlson,1,1976,1976
228,Bill Cartwright,15,1980,1995
229,Tyson Chandler,19,2002,2020
230,Phil Chenier,10,1972,1981
231,Will Cherry,1,2015,2015
232,Josh Childress,8,2005,2014
233,Chris Childs,9,1995,2003
234,Marquese Chriss,6,2017,2022
235,Josh Christopher,1,2022,2022
236,Patrick Christopher,1,2015,2015
237,Jarron Collins,10,2002,2011
238,Jason Collins,13,2002,2014
239,Darren Collison,11,2010,2022
240,Anthony Cook,4,1991,1996
241,Darwin Cook,8,1981,1989
242,Jeff Cook,8,1980,1988
243,David Cooke,1,1986,1986
244,Michael Cooper,12,1979,1990
245,James Cotton,2,1998,1999
246,John Coughran,1,1980,1980
247,Allen Crabbe,7,2014,2020
248,Hal Crisler,1,1947,1947
249,Russell Critchfield,1,1969,1969
250,Winston Crite,2,1988,1989
251,Austin Croshere,12,1998,2009
252,Mark Crow,1,1978,1978
253,Jared Cunningham,4,2013,2016
254,Howie Dallmar,3,1947,1949
255,Antonio Davis,13,1994,2006
256,Baron Davis,13,2000,2012
257,Tyler Davis,1,2019,2019
258,Austin Daye,6,2010,2015
259,Greg Deane,1,1980,1980
260,Dewayne Dedmon,9,2014,2022
261,Bryce Dejean-Jones,1,2016,2016
262,Bison Dele,8,1992,1999
263,Dell Demps,3,1994,1997
264,DeMar DeRozan,13,2010,2022
265,Coby Dietrick,13,1971,1983
266,Harry Dinnel,1,1968,1968
267,Spencer Dinwiddie,8,2015,2022
268,Tyler Dorsey,2,2018,2019
269,Larry Drew II,2,2015,2018
270,Ralph Drollinger,1,1981,1981
271,Jared Dudley,14,2008,2021
272,Craig Dykema,1,1982,1982
273,Jim Eakins,10,1969,1978
274,Mark Eaton,11,1983,1993
275,Tyus Edney,4,1996,2001
276,Kessler Edwards,1,2022,2022
277,Shane Edwards,1,2014,2014
278,LeRon Ellis,3,1992,1996
279,Wayne Engelstad,1,1989,1989
280,James Ennis III,8,2015,2022
281,Keith Erickson,12,1966,1977
