,Player Code,Salary,Season Span,Season Year End,Season Year Start,Team Full name
0,abdelal01,395000,1990-91,1991,1990,Portland Trail Blazers
1,abdelal01,494000,1991-92,1992,1991,Portland Trail Blazers
2,abdelal01,500000,1992-93,1993,1992,Boston Celtics
3,abdelal01,805000,1993-94,1994,1993,Boston Celtics
4,abdelal01,650000,1994-95,1995,1994,Sacramento Kings
5,abdulka01,1530000,1984-85,1985,1984,Los Angeles Lakers
6,abdulka01,2030000,1985-86,1986,1985,Los Angeles Lakers
7,abdulka01,2000000,1987-88,1988,1987,Los Angeles Lakers
8,abdulka01,3000000,1988-89,1989,1988,Los Angeles Lakers
9,abdulma02,1660000,1990-91,1991,1990,Denver Nuggets
10,abdulma02,2008000,1991-92,1992,1991,Denver Nuggets
11,abdulma02,2358000,1992-93,1993,1992,Denver Nuggets
12,abdulma02,1825000,1993-94,1994,1993,Denver Nuggets
13,abdulma02,2200000,1994-95,1995,1994,Denver Nuggets
14,abdulma02,2600000,1995-96,1996,1995,Denver Nuggets
15,abdulma02,3100000,1996-97,1997,1996,Sacramento Kings
16,abdulma02,3300000,1997-98,1998,1997,Sacramento Kings
17,abdulma02,798500,2000-01,2001,2000,Vancouver Grizzlies
18,abdulta01,1226880,1997-98,1998,1997,Sacramento Kings
19,abdulta01,1411000,1998-99,1999,1998,Sacramento Kings
20,abdulta01,1594920,1999-00,2000,1999,Denver Nuggets
21,abdulta01,4500000,2000-01,2001,2000,Denver Nuggets
22,abdulta01,5062500,2001-02,2002,2001,Denver Nuggets
23,abdulta01,5625000,2002-03,2003,2002,Dallas Mavericks
24,abdulta01,6187500,2003-04,2004,2003,Dallas Mavericks
25,abdulta01,6750000,2004-05,2005,2004,Dallas Mavericks
26,abdulta01,3656250,2005-06,2006,2005,Dallas Mavericks
27,abdulta01,1968750,2006-07,2007,2006,Dallas Mavericks
28,abdursh01,2186000,1996-97,1997,1996,Vancouver Grizzlies
29,abdursh01,9000000,1999-00,2000,1999,Vancouver Grizzlies
