,Player Name,Birth Year,Seasons in NBA,First Season Played,Last Season Played
0,Al Brightman,,1,1947,1947
1,Al Lujack,,1,1947,1947
2,Al Negratti,,1,1947,1947
3,Angelo Musi,,3,1947,1949
4,Ariel Maughan,1923.0,5,1947,1951
5,Armand Cure,,1,1947,1947
6,Art Hillhouse,,2,1947,1948
7,Art Spector,1920.0,4,1947,1950
8,Art Stolkey,,1,1947,1947
9,Aubrey Davis,,1,1947,1947
10,Aud Brindley,,1,1947,1947
11,Belus Smawley,1918.0,6,1947,1952
12,Ben Goldfaden,,1,1947,1947
13,Ben Scharnus,,2,1947,1949
14,Bill Davis,,1,1947,1947
15,Bob Cluggish,,1,1947,1947
16,Bob Dille,,1,1947,1947
17,Bob Doll,1919.0,4,1947,1950
18,Bob Duffy,1922.0,1,1947,1947
19,Bob Faught,,1,1947,1947
20,Bob Feerick,1920.0,4,1947,1950
21,Bob Fitzgerald,,2,1947,1949
22,Bob Gantt,,1,1947,1947
23,Bob Mullens,,1,1947,1947
24,Bob Rensberger,,1,1947,1947
25,Bob Shea,,1,1947,1947
26,Bones McKinney,1919.0,6,1947,1952
27,Buck Sydnor,,1,1947,1947
28,Bud Palmer,,3,1947,1949
29,Buddy O'Grady,,3,1947,1949
30,Butch van Breda Kolff,1922.0,4,1947,1950
31,Cecil Hankins,,2,1947,1948
32,Charlie Hoefer,,2,1947,1948
33,Chet Aubuchon,,1,1947,1947
34,Chet Carlisle,,1,1947,1947
35,Chick Halbert,1919.0,5,1947,1951
36,Chuck Connors,,2,1947,1948
37,Chuck Gilmur,1922.0,5,1947,1951
38,Connie Simmons,1925.0,10,1947,1956
39,Coulby Gunther,,2,1947,1949
40,Deb Smith,,1,1947,1947
41,Dick Fitzgerald,,2,1947,1948
42,Dick Murphy,,1,1947,1947
43,Dick Schulz,1917.0,4,1947,1950
44,Dino Martin,,2,1947,1948
45,Don Carlson,1919.0,4,1947,1951
46,Don Eliason,,1,1947,1947
47,Don Martin,,3,1947,1949
48,Don Putman,1922.0,4,1947,1950
49,Doyle Parrack,,1,1947,1947
50,Earl Shannon,,3,1947,1949
51,Ed Kasid,,1,1947,1947
52,Ed Melvin,,1,1947,1947
53,Ed Sadowski,1917.0,4,1947,1950
