,Birthdate,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year,Player Name
0,1968-06-24,Duke University,25th overall,1st round,Portland Trail Blazers,1990,Alaa Abdelnaby
1,1946-04-07,Iowa State University,5th overall,1st round,Cincinnati Royals,1968,Zaid Abdul-Aziz
2,1947-04-16,"University of California, Los Angeles",1st overall,1st round,Milwaukee Bucks,1969,Kareem Abdul-Jabbar
3,1969-03-09,Louisiana State University,3rd overall,1st round,Denver Nuggets,1990,Mahmoud Abdul-Rauf
4,1974-11-03,"University of Michigan, San Jose State University",11th overall,1st round,Sacramento Kings,1997,Tariq Abdul-Wahad
5,1976-12-11,University of California,3rd overall,1st round,Vancouver Grizzlies,1996,Shareef Abdur-Rahim
6,1954-05-06,Indiana University,43rd overall,3rd round,Los Angeles Lakers,1976,Tom Abernethy
7,1932-07-27,Western Kentucky University,,1956 NBA Draf,Syracuse Nationals,,Forest Able
8,1919-02-09,Salem International University,,,,,John Abramovic
9,1993-08-01,,32nd overall,2nd round,Oklahoma City Thunder,2013,Alex Abrines
10,1983-01-21,Pepperdine University,60th overall,2nd round,Detroit Pistons,2005,Alex Acker
11,1930-09-04,Long Island University,1953 NBA Draft,2nd roun,New York Knicks,,Don Ackerman
12,1962-11-15,Oral Roberts University,40th overall,2nd round,Dallas Mavericks,1985,Mark Acres
13,1942-01-11,Hillsdale College,,,,,Bud Acton
14,1990-10-06,Baylor University,37th overall,2nd round,Toronto Raptors,2012,Quincy Acy
15,1954-07-19,University of Oklahoma,4th overall,1st round,Phoenix Suns,1975,Alvan Adams
16,1947-11-27,Northwestern University,120th overall,8th round,San Diego Rockets,1970,Don Adams
17,1949-05-15,Gardner-Webb University,46th overall,3rd round,Milwaukee Bucks,1972,George Adams
18,1984-06-20,University of Arizona,54th overall,2nd round,New Jersey Nets,2006,Hassan Adams
19,1996-05-04,St. Bonaventure University,,,,,Jaylen Adams
20,1994-07-08,"University of California, Los Angeles",22nd overall,1st round,Memphis Grizzlies,2014,Jordan Adams
21,1963-01-19,Boston College,66th overall,3rd round,Sacramento Kings,1985,Michael Adams
22,1993-07-20,University of Pittsburgh,12th overall,1st round,Oklahoma City Thunder,2013,Steven Adams
23,1964-07-22,Syracuse University,39th overall,2nd round,Phoenix Suns,1986,Rafael Addison
24,1997-07-18,University of Kentucky,14th overall,1st round,Miami Heat,2017,Bam Adebayo
25,1997-02-01,University of Louisville,,,,,Deng Adel
26,1946-06-16,Loyola Marymount University,79th overall,7th round,San Diego Rockets,1968,Rick Adelman
27,1986-02-10,University of Connecticut,,,,,Jeff Adrien
28,1985-10-15,"University of California, Los Angeles",27th overall,1st round,Detroit Pistons,2007,Arron Afflalo
29,1984-02-09,Michigan State University,28th overall,1st round,Dallas Mavericks,2006,Maurice Ager
30,1959-12-10,DePaul University,1st overall,1st round,Dallas Mavericks,1981,Mark Aguirre
31,1984-05-27,Missouri State University,,,,,Blake Ahearn
32,1959-03-17,Brigham Young University,31st overall,2nd round,Boston Celtics,1981,Danny Ainge
33,1944-09-21,Michigan State University,135th overall,13th round,Detroit Pistons,1967,Matthew Aitch
34,1988-05-06,,20th overall,1st round,Charlotte Bobcats,2008,Alexis Ajinca
35,1944-07-31,Morehead State University,11th overall,2nd round,New York Knicks,1966,Henry Akin
36,1986-02-10,"Washington State University, California State University, Fullerton",,,,,Josh Akognon
37,1993-06-05,Illinois State University,,,,,DeVaughn Akoon-Purcell
38,1988-03-21,Florida State University,50th overall,2nd round,Dallas Mavericks,2010,Solomon Alabi
39,1963-12-11,Duke University,18th overall,1st round,Denver Nuggets,1986,Mark Alarie
40,1936-10-08,"California State University, Fresno",16th overall,3rd round,Detroit Pistons,1959,Gary Alcorn
41,1991-08-09,,53rd overall,2nd round,Los Angeles Clippers,2012,Furkan Aldemir
42,1988-10-31,University of Kansas,11th overall,1st round,New Orleans Hornets,2010,Cole Aldrich
43,1985-07-19,University of Texas at Austin,2nd overall,1st round,Chicago Bulls,2006,LaMarcus Aldridge
44,1959-02-26,"University of Kentucky, University of Connecticut",76th overall,4th round,Chicago Bulls,1982,Chuck Aleksinas
45,1995-11-16,University of Kansas,,,,,Cliff Alexander
46,1973-06-22,University of Virginia,29th overall,1st round,San Antonio Spurs,1995,Cory Alexander
47,1977-04-27,"University of Virginia, California State University, Fresno",13th overall,1st round,Orlando Magic,2000,Courtney Alexander
48,1969-11-01,University of South Florida,,,,,Gary Alexander
49,1986-12-26,West Virginia University,8th overall,1st round,Milwaukee Bucks,2008,Joe Alexander
50,1969-08-31,Iowa State University,17th overall,1st round,Golden State Warriors,1991,Victor Alexander
51,1964-11-23,Indiana University,26th overall,2nd round,Dallas Mavericks,1987,Steve Alford
52,1997-10-29,University of Arizona,,,,,Rawle Alkins
53,,New Mexico State University,,,,,Bill Allen
54,1946-07-17,Marshall University,71st overall,6th round,San Francisco Warriors,1968,Bob Allen
55,1995-10-08,Duke University,21st overall,1st round,Utah Jazz,2018,Grayson Allen
56,1998-04-21,University of Texas at Austin,22nd overall,1st round,Brooklyn Nets,2017,Jarrett Allen
57,1973-01-28,University of Pennsylvania,49th overall,2nd round,Minnesota Timberwolves,1995,Jerome Allen
58,1993-01-15,University of Arizona,53rd overall,2nd round,Boston Celtics,2017,Kadeem Allen
59,1989-02-04,Temple University,50th overall,2nd round,Philadelphia 76ers,2011,Lavoy Allen
60,1947-09-26,"University of California, Los Angeles",3rd overall,1st round,Seattle SuperSonics,1969,Lucius Allen
61,1978-06-27,Villanova University,,,,,Malik Allen
62,1965-01-26,Florida State University,,,,,Randy Allen
63,1975-07-20,University of Connecticut,5th overall,1st round,Minnesota Timberwolves,1996,Ray Allen
64,1982-01-11,"Butler County Community College, Oklahoma State University",25th overall,1st round,Boston Celtics,2004,Tony Allen
65,1949-02-08,University of Miami,60th overall,4th round,Baltimore Bullets,1971,Willie Allen
66,1949-10-02,"University of Nevada, Las Vegas",76th overall,5th round,Golden State Warriors,1971,Odis Allison
67,1981-02-02,"University of Utah, Weber State University",,,,,Lance Allred
68,1958-09-12,"University of California, Los Angeles",103rd overall,5th round,Dallas Mavericks,1980,Darrell Allums
69,1985-02-02,Rice University,25th overall,1st round,Utah Jazz,2007,Morris Almond
70,1972-08-20,Duquesne University,33rd overall,2nd round,Philadelphia 76ers,1994,Derrick Alston
71,1976-07-24,"California State University, Fresno",39th overall,2nd round,Milwaukee Bucks,1998,Rafer Alston
72,1973-04-23,Liberty University,,,,,Peter Aluma
73,1970-11-26,"Vanderbilt University, Pennsylvania State University",,,,,John Amaechi
74,1971-11-23,Southern Illinois University,,,,,Ashraf Amaya
75,1990-09-21,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,Al-Farouq Aminu
76,1982-12-07,"University of Nevada, Las Vegas",,,,,Lou Amundson
77,1937-08-24,Michigan State University,20th overall,3rd round,New York Knicks,1959,Bob Anderegg
78,1978-07-07,Blinn College,,,,,Chris Andersen
79,1980-06-23,,37th overall,2nd round,Atlanta Hawks,2002,David Andersen
80,1982-10-16,Michigan State University,,,,,Alan Anderson
81,1945-07-06,Canisius College,88th overall,8th round,Boston Celtics,1967,Andrew Anderson
82,1985-06-05,University of Memphis,,,,,Antonio Anderson
83,1944-09-07,Saint Joseph's University,35th overall,4th round,Los Angeles Lakers,1967,Cliff Anderson
84,1943-02-15,Augsburg College,89th overall,12th round,Philadelphia 76ers,1965,Dan Anderson
85,1951-01-01,University of Southern California,92nd overall,6th round,Portland Trail Blazers,1974,Dan Anderson
86,1974-07-18,"Ohio State University, University of Kentucky",13th overall,1st round,Cleveland Cavaliers,1997,Derek Anderson
87,1960-12-28,"University of Kentucky, University of Southern California",41st overall,2nd round,Washington Bullets,1982,Dwight Anderson
88,1970-05-26,Indiana University,,,,,Eric Anderson
89,1964-06-22,University of Houston,23rd overall,1st round,San Antonio Spurs,1987,Greg Anderson
90,1960-09-23,Bradley University,36th overall,2nd round,Philadelphia 76ers,1982,JJ Anderson
91,1989-03-25,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010,James Anderson
92,1953-10-09,West Virginia University,53rd overall,3rd round,Boston Celtics,1975,Jerome Anderson
93,1993-11-19,University of Virginia,21st overall,1st round,Dallas Mavericks,2015,Justin Anderson
94,1970-10-09,Georgia Institute of Technology,2nd overall,1st round,New Jersey Nets,1991,Kenny Anderson
95,1955-05-12,University of Missouri,28th overall,2nd round,Portland Trail Blazers,1977,Kim Anderson
96,1993-09-20,"University of California, Los Angeles",30th overall,1st round,San Antonio Spurs,2014,Kyle Anderson
97,1966-03-23,Drexel University,73rd overall,3rd round,Indiana Pacers,1988,Michael Anderson
98,1968-01-20,University of Illinois at Urbana-Champaign,11th overall,1st round,Orlando Magic,1989,Nick Anderson
99,1960-11-19,"University of California, Santa Barbara",32nd overall,2nd round,San Diego Clippers,1982,Richard Anderson
100,1958-10-15,"California State University, Fresno",27th overall,2nd round,Cleveland Cavaliers,1984,Ron Anderson
101,1988-05-06,University of California,21st overall,1st round,New Jersey Nets,2008,Ryan Anderson
102,1973-12-31,University of Georgia,54th overall,2nd round,Utah Jazz,1996,Shandon Anderson
103,1967-01-08,University of Georgia,10th overall,1st round,San Antonio Spurs,1988,Willie Anderson
104,1946-01-11,Creighton University,70th overall,6th round,Detroit Pistons,1968,Wally Anderzunas
105,1986-03-12,,44th overall,2nd round,Orlando Magic,2005,Martynas Andriuskevicius
106,1930-11-01,Missouri State University,26th overall,3rd round,New York Knicks,1954,Don Anielak
107,1998-10-17,"University of California, Los Angeles",47th overall,2nd round,Indiana Pacers,2017,Ike Anigbogu
108,1967-02-08,University of Alabama,37th overall,2nd round,Orlando Magic,1989,Michael Ansley
109,1975-01-01,,18th overall,1st round,Portland Trail Blazers,1997,Chris Anstey
110,1994-12-06,,15th overall,1st round,Milwaukee Bucks,2013,Giannis Antetokounmpo
111,1997-11-20,University of Dayton,60th overall,2nd round,Philadelphia 76ers,2018,Kostas Antetokounmpo
112,1992-07-17,,51st overall,2nd round,New York Knicks,2014,Thanasis Antetokounmpo
113,1984-05-29,Syracuse University,3rd overall,1st round,Denver Nuggets,2003,Carmelo Anthony
114,1967-11-15,"University of Portland, University of Nevada, Las Vegas",12th overall,1st round,New York Knicks,1991,Greg Anthony
115,1982-08-09,"University of Nevada, Las Vegas",,,,,Joel Anthony
116,1982-07-29,,,,,,Pero Antic
117,1997-07-17,Indiana University,23rd overall,1st round,Toronto Raptors,2017,OG Anunoby
118,1992-02-13,Michigan State University,,,,,Keith Appling
119,1980-08-12,Brigham Young University,8th overall,1st round,Toronto Raptors,2004,Rafael Araujo
120,1936-02-17,Iowa State University,,,,,Stacey Arceneaux
121,1980-03-29,University of Illinois at Urbana-Champaign,32nd overall,2nd round,Memphis Grizzlies,2002,Robert Archibald
122,1948-09-02,University of Texas at El Paso,19th overall,2nd round,Cincinnati Royals,1970,Tiny Archibald
123,1994-03-26,Villanova University,,,,,Ryan Arcidiacono
124,1948-09-19,University of Cincinnati,6th overall,1st round,Seattle SuperSonics,1970,Jim Ard
125,1982-01-06,University of Arizona,31st overall,2nd round,Golden State Warriors,2001,Gilbert Arenas
126,1985-06-30,"University of California, Los Angeles",43rd overall,2nd round,New York Knicks,2004,Trevor Ariza
127,1928-04-09,Villanova University,,1950 NBA Draft,Philadelphia Warriors,,Paul Arizin
128,1965-07-20,Niagara University,74th overall,4th round,Sacramento Kings,1987,Joe Arlauckas
129,1967-09-09,University of Iowa,18th overall,1st round,Chicago Bulls,1989,BJ Armstrong
130,1933-06-17,Michigan State University,,1955 NBA Draf,Rochester Royals,,Bob Armstrong
131,1980-06-16,Pepperdine University,23rd overall,1st round,Houston Rockets,2001,Brandon Armstrong
132,1918-11-01,Indiana University,,,,,Curly Armstrong
133,1968-06-22,Fayetteville State University,,,,,Darrell Armstrong
134,1984-11-11,University of Connecticut,12th overall,1st round,New Orleans/Oklahoma City Hornets,2006,Hilton Armstrong
135,1955-10-05,Duke University,13th overall,1st round,Chicago Bulls,1977,Tate Armstrong
136,1933-12-30,Pennsylvania State University,13th overall,2nd round,Fort Wayne Pistons,1955,Jesse Arnelle
137,1938-12-19,University of Texas at Austin,9th overall,2nd round,Cincinnati Royals,1960,Jay Arnette
138,1947-11-03,University of Notre Dame,103rd overall,8th round,Detroit Pistons,1969,Bob Arnzen
139,1979-07-30,Florida International University,,,,,Carlos Arroyo
140,1988-03-25,University of Kansas,27th overall,1st round,New Orleans Hornets,2008,Darrell Arthur
141,1947-08-15,Tulane University,73rd overall,6th round,Milwaukee Bucks,1969,John Arthurs
142,1993-01-12,University of Pittsburgh,,,,,Jamel Artis
143,1986-07-04,,36th overall,2nd round,Portland Trail Blazers,2008,Omer Asik
144,1966-02-28,University of Memphis,39th overall,2nd round,Philadelphia 76ers,1987,Vincent Askew
145,1967-12-15,University of Alabama,,,,,Keith Askins
146,1928-02-15,Alliance College,,,,,Don Asmonga
147,1931-09-21,Indiana State University,,1953 NBA Draf,New York Knicks,,Dick Atha
148,1974-08-14,University of South Florida,,,,,Chucky Atkins
149,1936-11-07,North Carolina Agricultural and Technical State University,39th overall,5th round,Philadelphia Warriors,1960,Al Attles
150,1916-05-18,Michigan State University,,,,,Chet Aubuchon
151,1968-08-01,"University of Nevada, Las Vegas",9th overall,1st round,Atlanta Hawks,1991,Stacey Augmon
152,1987-11-10,University of Texas at Austin,9th overall,1st round,Charlotte Bobcats,2008,DJ Augustin
153,1984-02-27,University of Illinois at Urbana-Champaign,41st overall,2nd round,Orlando Magic,2006,James Augustine
154,1969-08-18,Arizona State University,48th overall,2nd round,Utah Jazz,1991,Isaac Austin
155,1944-08-31,Boston College,38th overall,4th round,Boston Celtics,1966,Johnny Austin
156,1961-07-15,Rice University,101st overall,5th round,Detroit Pistons,1983,Ken Austin
157,1969-10-18,Seton Hall University,15th overall,1st round,Atlanta Hawks,1991,Anthony Avent
158,1952-07-22,Pepperdine University,,,,,Bird Averitt
159,1979-08-08,Duke University,14th overall,1st round,Minnesota Timberwolves,1999,William Avery
160,1948-02-22,Santa Clara University,46th overall,3rd round,Philadelphia 76ers,1970,Dennis Awtrey
161,1985-04-01,,,,,,Gustavo Ayon
162,1987-04-29,Arizona State University,31st overall,2nd round,Sacramento Kings,2009,Jeff Ayres
163,1998-07-23,University of Arizona,1st overall,1st round,Phoenix Suns,2018,Deandre Ayton
164,1983-12-16,University of Kentucky,,,,,Kelenna Azubuike
165,1990-02-14,"Pennsylvania State University, Iowa State University",,,,,Chris Babb
166,1989-06-20,"University of Nevada, Reno",16th overall,1st round,Minnesota Timberwolves,2010,Luke Babbitt
