,Player Name,Birth Year,Age,Seasons in NBA,Team (3 Letter)
0,A.J. Green,,24.0,2,MIL
1,A.J. Lawson,,23.0,2,DAL
2,AJ Griffin,,20.0,2,ATL
3,Aaron Gordon,,28.0,10,DEN
4,Aaron Holiday,,27.0,6,HOU
5,Aaron Nesmith,,24.0,4,IND
6,Aaron Wiggins,,25.0,3,OKC
7,Adama Sanogo,,21.0,1,CHI
8,Admiral Schofield,,26.0,4,ORL
9,Al Horford,,37.0,17,BOS
10,Alec Burks,,32.0,13,DET
11,Aleksej Pokusevski,,22.0,4,OKC
12,Alex Caruso,,29.0,7,CHI
13,Alex Fudge,,20.0,1,LAL
14,Alex Len,,30.0,11,SAC
15,Alperen Şengün,,21.0,3,HOU
16,Amari Bailey,,19.0,1,CHO
17,Amen Thompson,,21.0,1,HOU
18,Amir Coffey,,26.0,5,LAC
19,Andre Drummond,,30.0,12,CHI
20,Andre Jackson Jr.,,22.0,1,MIL
21,Andrew Nembhard,,24.0,2,IND
22,Andrew Wiggins,,28.0,10,GSW
23,Anfernee Simons,,24.0,6,POR
24,Anthony Black,,20.0,1,ORL
25,Anthony Davis,,30.0,12,LAL
26,Anthony Edwards,,22.0,4,MIN
27,Anthony Gill,,31.0,4,WAS
28,Armoni Brooks,,25.0,3,BRK
29,Ausar Thompson,,21.0,1,DET
30,Austin Reaves,,25.0,3,LAL
31,Ayo Dosunmu,,24.0,3,CHI
32,Bam Adebayo,,26.0,7,MIA
33,Ben Sheppard,,22.0,1,IND
34,Ben Simmons,,27.0,6,BRK
35,Bennedict Mathurin,,21.0,2,IND
36,Bilal Coulibaly,,19.0,1,WAS
37,Bismack Biyombo,,31.0,13,MEM
38,Blake Wesley,,20.0,2,SAS
39,Boban Marjanović,,35.0,9,HOU
40,Bobby Portis,,28.0,9,MIL
41,Bogdan Bogdanović,,31.0,7,ATL
42,Bojan Bogdanović,,34.0,10,DET
43,Bol Bol,,24.0,5,PHO
44,Bones Hyland,,23.0,3,LAC
45,Bradley Beal,,30.0,12,PHO
46,Brandin Podziemski,,20.0,1,GSW
47,Brandon Boston Jr.,,22.0,3,LAC
48,Brandon Ingram,,26.0,8,NOP
49,Brandon Miller,,21.0,1,CHO
50,Braxton Key,,26.0,3,DEN
51,Brice Sensabaugh,,20.0,1,UTA
52,Brook Lopez,,35.0,16,MIL
53,Bruce Brown,,27.0,6,IND
54,Bruno Fernando,,25.0,5,ATL
55,Bryce McGowens,,21.0,2,CHO
56,Buddy Hield,,31.0,8,IND
57,CJ McCollum,,32.0,11,NOP
58,Cade Cunningham,,22.0,3,DET
59,Caleb Houstan,,21.0,2,ORL
60,Caleb Martin,,28.0,5,MIA
61,Cam Reddish,,24.0,5,LAL
62,Cam Thomas,,22.0,3,BRK
63,Cam Whitmore,,19.0,1,HOU
64,Cameron Johnson,,27.0,5,BRK
65,Cameron Payne,,29.0,9,MIL
66,Caris LeVert,,29.0,8,CLE
67,Cason Wallace,,20.0,1,OKC
68,Cedi Osman,,28.0,7,SAS
69,Charles Bassey,,23.0,3,SAS
70,Charlie Brown Jr.,,26.0,4,NYK
71,Chet Holmgren,,21.0,1,OKC
72,Chimezie Metu,,26.0,6,PHO
73,Chris Boucher,,31.0,7,TOR
74,Chris Duarte,,26.0,3,SAC
75,Chris Livingston,,20.0,1,MIL
76,Chris Paul,,38.0,19,GSW
77,Christian Braun,,22.0,2,DEN
78,Christian Wood,,28.0,8,LAL
79,Chuma Okeke,,25.0,4,ORL
80,Clint Capela,,29.0,10,ATL
81,Coby White,,23.0,5,CHI
82,Cody Martin,,28.0,5,CHO
83,Cody Zeller,,31.0,11,NOP
84,Colby Jones,,21.0,1,SAC
85,Cole Anthony,,23.0,4,ORL
86,Cole Swider,,24.0,2,MIA
87,Colin Castleton,,23.0,1,LAL
88,Collin Gillespie,,24.0,1,DEN
89,Collin Sexton,,25.0,6,UTA
90,Corey Kispert,,24.0,3,WAS
91,Cory Joseph,,32.0,13,GSW
92,Craig Porter Jr.,,23.0,1,CLE
93,D'Angelo Russell,,27.0,9,LAL
94,D'Moi Hodge,,25.0,1,LAL
95,DaQuan Jeffries,,26.0,4,NYK
96,Daishen Nix,,21.0,3,MIN
97,Dalano Banton,,24.0,3,BOS
98,Dalen Terry,,21.0,2,CHI
99,Damian Jones,,28.0,8,CLE
100,Damian Lillard,,33.0,12,MIL
101,Daniel Gafford,,25.0,5,WAS
102,Daniel Theis,,31.0,7,TOT
103,Daniel Theis,,31.0,7,IND
104,Daniel Theis,,31.0,7,LAC
105,Danilo Gallinari,,35.0,14,WAS
106,Danny Green,,36.0,15,PHI
107,Dante Exum,,28.0,7,DAL
108,Danuel House Jr.,,30.0,8,PHI
109,Dario Šarić,,29.0,7,GSW
110,Dariq Whitehead,,19.0,1,BRK
111,Darius Garland,,24.0,5,CLE
112,David Roddy,,22.0,2,MEM
113,Davion Mitchell,,25.0,3,SAC
114,Day'Ron Sharpe,,22.0,3,BRK
115,De'Aaron Fox,,26.0,7,SAC
116,De'Andre Hunter,,26.0,5,ATL
117,De'Anthony Melton,,25.0,6,PHI
118,DeAndre Jordan,,35.0,16,DEN
119,DeMar DeRozan,,34.0,15,CHI
120,Dean Wade,,27.0,5,CLE
121,Deandre Ayton,,25.0,6,POR
122,Dejounte Murray,,27.0,7,ATL
123,Delon Wright,,31.0,9,WAS
124,Deni Avdija,,23.0,4,WAS
125,Dennis Schröder,,30.0,11,TOR
126,Dennis Smith Jr.,,26.0,7,BRK
127,Dereck Lively II,,19.0,1,DAL
128,Dereon Seabron,,23.0,2,NOP
129,Derrick Jones Jr.,,26.0,8,DAL
130,Derrick Rose,,35.0,15,MEM
131,Derrick White,,29.0,7,BOS
132,Desmond Bane,,25.0,4,MEM
133,Devin Booker,,27.0,9,PHO
134,Devin Vassell,,23.0,4,SAS
135,Devonte' Graham,,28.0,6,SAS
136,Dexter Dennis,,24.0,1,DAL
137,Dillon Brooks,,28.0,7,HOU
138,Dmytro Skapintsev,,25.0,1,NYK
139,Domantas Sabonis,,27.0,8,SAC
140,Dominick Barlow,,20.0,2,SAS
141,Donovan Mitchell,,27.0,7,CLE
142,Donte DiVincenzo,,27.0,6,NYK
143,Dorian Finney-Smith,,30.0,8,BRK
144,Doug McDermott,,32.0,10,SAS
145,Draymond Green,,33.0,12,GSW
146,Drew Eubanks,,26.0,6,PHO
147,Drew Peterson,,24.0,1,BOS
148,Dru Smith,,26.0,2,MIA
149,Duncan Robinson,,29.0,6,MIA
150,Duop Reath,,27.0,1,POR
151,Dwight Powell,,32.0,10,DAL
152,Dylan Windler,,27.0,4,NYK
153,Dyson Daniels,,20.0,2,NOP
154,Dāvis Bertāns,,31.0,8,OKC
155,E.J. Liddell,,23.0,1,NOP
156,Emoni Bates,,20.0,1,CLE
157,Eric Gordon,,35.0,16,PHO
158,Eugene Omoruyi,,26.0,3,WAS
159,Evan Fournier,,31.0,12,NYK
160,Evan Mobley,,22.0,3,CLE
161,Filip Petrušev,,23.0,1,TOT
162,Filip Petrušev,,23.0,1,PHI
163,Filip Petrušev,,23.0,1,SAC
164,Franz Wagner,,22.0,3,ORL
165,Fred VanVleet,,29.0,8,HOU
166,Furkan Korkmaz,,26.0,7,PHI
167,Gabe Vincent,,27.0,5,LAL
168,Garrett Temple,,37.0,14,TOR
169,Garrison Mathews,,27.0,5,ATL
170,Gary Harris,,29.0,10,ORL
171,Gary Payton II,,31.0,8,GSW
172,Gary Trent Jr.,,25.0,6,TOR
173,Georges Niang,,30.0,8,CLE
174,Giannis Antetokounmpo,,29.0,11,MIL
175,Goga Bitadze,,24.0,5,ORL
176,Gordon Hayward,,33.0,14,CHO
177,Gradey Dick,,20.0,1,TOR
178,Grant Williams,,25.0,5,DAL
179,Grayson Allen,,28.0,6,PHO
180,Greg Brown III,,22.0,3,DAL
181,Gregory Jackson II,,19.0,1,MEM
182,Gui Santos,,21.0,1,GSW
183,Harrison Barnes,,31.0,12,SAC
184,Harry Giles,,25.0,4,BRK
185,Haywood Highsmith,,27.0,4,MIA
186,Herbert Jones,,25.0,3,NOP
187,Hunter Tyson,,23.0,1,DEN
188,Ibou Badji,,21.0,1,POR
189,Immanuel Quickley,,24.0,4,NYK
190,Isaac Okoro,,23.0,4,CLE
191,Isaiah Hartenstein,,25.0,6,NYK
192,Isaiah Jackson,,22.0,3,IND
193,Isaiah Joe,,24.0,4,OKC
194,Isaiah Livers,,25.0,3,DET
195,Isaiah Mobley,,24.0,2,CLE
196,Isaiah Stewart,,22.0,4,DET
197,Ish Smith,,35.0,14,CHO
198,Ish Wainright,,29.0,3,POR
199,Ivica Zubac,,26.0,8,LAC
200,JD Davison,,21.0,2,BOS
201,JT Thor,,21.0,3,CHO
202,Ja Morant,,24.0,5,MEM
203,JaVale McGee,,36.0,16,SAC
204,Jabari Smith Jr.,,20.0,2,HOU
205,Jabari Walker,,21.0,2,POR
206,Jacob Gilyard,,25.0,2,MEM
207,Jacob Toppin,,23.0,1,NYK
208,Jaden Hardy,,21.0,2,DAL
209,Jaden Ivey,,21.0,2,DET
210,Jaden McDaniels,,23.0,4,MIN
211,Jaden Springer,,21.0,3,PHI
212,Jae Crowder,,33.0,12,MIL
213,Jae'Sean Tate,,28.0,4,HOU
214,Jaime Jaquez Jr.,,22.0,1,MIA
215,Jake LaRavia,,22.0,2,MEM
216,Jakob Poeltl,,28.0,8,TOR
217,Jalen Brunson,,27.0,6,NYK
218,Jalen Duren,,20.0,2,DET
219,Jalen Green,,21.0,3,HOU
220,Jalen Hood-Schifino,,20.0,1,LAL
221,Jalen Johnson,,22.0,3,ATL
222,Jalen McDaniels,,26.0,5,TOR
223,Jalen Pickett,,24.0,1,DEN
224,Jalen Slawson,,24.0,1,SAC
225,Jalen Smith,,23.0,4,IND
226,Jalen Suggs,,22.0,3,ORL
227,Jalen Williams,,22.0,2,OKC
228,Jalen Wilson,,23.0,1,BRK
229,Jamal Cain,,24.0,2,MIA
230,Jamal Murray,,26.0,7,DEN
231,Jamaree Bouyea,,24.0,2,POR
232,James Bouknight,,23.0,3,CHO
233,James Harden,,34.0,15,LAC
234,James Johnson,,36.0,15,IND
235,James Wiseman,,22.0,3,DET
236,Jarace Walker,,20.0,1,IND
237,Jared Butler,,23.0,3,WAS
238,Jared Rhoden,,24.0,2,DET
239,Jaren Jackson Jr.,,24.0,6,MEM
240,Jarred Vanderbilt,,24.0,6,LAL
241,Jarrett Allen,,25.0,7,CLE
242,Javonte Smart,,24.0,2,PHI
243,Jaxson Hayes,,23.0,5,LAL
244,Jay Huff,,25.0,3,DEN
245,Jaylen Brown,,27.0,8,BOS
