Player Name,Year,Salary
Shaquille O'Neal,2000,17142000.0
Kevin Garnett,2000,16806000.0
Alonzo Mourning,2000,15004000.0
Juwan Howard,2000,15000000.0
Scottie Pippen,2000,14795000.0
Karl Malone,2000,14000000.0
Larry Johnson,2000,11910000.0
Gary Payton,2000,11020000.0
Rasheed Wallace,2000,10800000.0
Shawn Kemp,2000,10780000.0
Damon Stoudamire,2000,10125000.0
Antonio McDyess,2000,9900000.0
Ray Allen,2000,9000000.0
Antoine Walker,2000,9000000.0
Stephon Marbury,2000,9000000.0
Vlade Divac,2000,8837000.0
Bryant Reeves,2000,8666000.0
Tom Gugliotta,2000,8558000.0
Nick Van Exel,2000,8354000.0
Elden Campbell,2000,7975000.0
Terrell Brandon,2000,7400000.0
Derrick Coleman,2000,7370000.0
Glenn Robinson,2000,7250000.0
Steve Smith,2000,7200000.0
Kerry Kittles,2000,7166000.0
Chris Dudley,2000,7100000.0
Theo Ratliff,2000,7031000.0
Matt Geiger,2000,6889000.0
Jason Kidd,2000,6858000.0
Kenny Anderson,2000,6680000.0
Tyrone Hill,2000,6422000.0
Clifford Robinson,2000,6125000.0
Jamal Mashburn,2000,5600000.0
Steve Nash,2000,5500000.0
Alan Henderson,2000,5318000.0
Donyell Marshall,2000,5250000.0
Marcus Camby,2000,5250000.0
Greg Ostertag,2000,5200000.0
Luc Longley,2000,5175000.0
P.J. Brown,2000,5124000.0
Jermaine O'Neal,2000,5075000.0
Erick Dampier,2000,4988000.0
Wesley Person,2000,4900000.0
Isaac Austin,2000,4819000.0
Loy Vaught,2000,4810000.0
Derrick McKey,2000,4800000.0
Robert Horry,2000,4800000.0
Jim McIlvaine,2000,4800000.0
Jerry Stackhouse,2000,4781000.0
Charlie Ward,2000,4540000.0
Dale Davis,2000,4490000.0
Lorenzen Wright,2000,4400000.0
Mookie Blaylock,2000,4200000.0
Chris Mills,2000,4200000.0
Chris Childs,2000,4160000.0
Darrell Armstrong,2000,4125000.0
Bryon Russell,2000,4000000.0
Brent Barry,2000,3960000.0
Jason Caffey,2000,3937000.0
Vitaly Potapenko,2000,3810000.0
Bob Sura,2000,3760000.0
Walt Williams,2000,3750000.0
Scott Williams,2000,3750000.0
Sam Cassell,2000,3500000.0
Michael Olowokandi,2000,3456000.0
Elton Brand,2000,3375000.0
Eric Williams,2000,3336000.0
Travis Best,2000,3250000.0
Michael Stewart,2000,3200000.0
Derek Strong,2000,3159000.0
Mike Bibby,2000,3092000.0
Rick Fox,2000,3033000.0
Steve Francis,2000,3020000.0
Derek Fisher,2000,3000000.0
Eric Snow,2000,3000000.0
Ervin Johnson,2000,2951000.0
Brent Price,2000,2944000.0
Travis Knight,2000,2800000.0
Raef LaFrentz,2000,2777000.0
Tracy Murray,2000,2720000.0
Tyrone Nesby,2000,2716000.0
Baron Davis,2000,2712000.0
