,Player Code,Player Name,Season Year,Age,Team (3 Letter)
0,abdelal01TOT,Alaa Abdelnaby,1995,26,TOT
1,abdelal01SAC,Alaa Abdelnaby,1995,26,SAC
2,abdelal01PHI,Alaa Abdelnaby,1995,26,PHI
3,abdulma02DEN,Mahmoud Abdul-Rauf,1995,25,DEN
4,adamsmi01CHH,Michael Adams,1995,32,CHH
5,addisra01DET,Rafael Addison,1995,30,DET
6,aingeda01PHO,Danny Ainge,1995,35,PHO
7,alexavi01GSW,Victor Alexander,1995,25,GSW
8,alstode01PHI,Derrick Alston,1995,22,PHI
9,andergr01ATL,Greg Anderson,1995,30,ATL
10,anderke01NJN,Kenny Anderson,1995,24,NJN
11,anderni01ORL,Nick Anderson,1995,27,ORL
12,anderwi01SAS,Willie Anderson,1995,28,SAS
13,anthogr01NYK,Greg Anthony,1995,27,NYK
14,armstbj01CHI,B.J. Armstrong,1995,27,CHI
15,armstda01ORL,Darrell Armstrong,1995,26,ORL
16,askewvi01SEA,Vincent Askew,1995,28,SEA
17,askinke01MIA,Keith Askins,1995,27,MIA
18,augmost01ATL,Stacey Augmon,1995,26,ATL
19,aventan01ORL,Anthony Avent,1995,25,ORL
20,bakervi01MIL,Vin Baker,1995,23,MIL
21,barklch01PHO,Charles Barkley*,1995,31,PHO
22,barroda01PHI,Dana Barros,1995,27,PHI
23,barryjo01MIL,Jon Barry,1995,25,MIL
24,battljo01CLE,John Battle,1995,32,CLE
25,bazarse01ATL,Sergei Bazarevich,1995,29,ATL
26,benjabe01NJN,Benoit Benjamin,1995,30,NJN
27,benneel01CLE,Elmer Bennett,1995,24,CLE
28,benneto01CHH,Tony Bennett,1995,25,CHH
29,benoida01UTA,David Benoit,1995,26,UTA
30,blackja01TOT,James Blackwell,1995,26,TOT
31,blackja01CHH,James Blackwell,1995,26,CHH
32,blackja01BOS,James Blackwell,1995,26,BOS
33,blaylmo01ATL,Mookie Blaylock,1995,27,ATL
34,blounco01CHI,Corie Blount,1995,26,CHI
35,boguemu01CHH,Muggsy Bogues,1995,30,CHH
36,bolma01GSW,Manute Bol,1995,32,GSW
37,bondwa01TOT,Walter Bond,1995,25,TOT
38,bondwa01DET,Walter Bond,1995,25,DET
39,bondwa01UTA,Walter Bond,1995,25,UTA
40,bonnean01NYK,Anthony Bonner,1995,26,NYK
41,bowiean01ORL,Anthony Bowie,1995,31,ORL
42,bowiesa01LAL,Sam Bowie,1995,33,LAL
43,bradlsh01PHI,Shawn Bradley,1995,22,PHI
44,brandte01CLE,Terrell Brandon,1995,24,CLE
45,breauti01HOU,Tim Breaux,1995,24,HOU
46,brooksc01TOT,Scott Brooks,1995,29,TOT
47,brooksc01HOU,Scott Brooks,1995,29,HOU
48,brooksc01DAL,Scott Brooks,1995,29,DAL
49,brownch01HOU,Chucky Brown,1995,26,HOU
50,brownde01BOS,Dee Brown,1995,26,BOS
51,brownmi01MIN,Mike Brown,1995,31,MIN
52,brownpj01NJN,P.J. Brown,1995,25,NJN
53,brownra02SAC,Randy Brown,1995,26,SAC
54,bryanma01POR,Mark Bryant,1995,29,POR
55,buechju01CHI,Jud Buechler,1995,26,CHI
56,burresc01CHH,Scott Burrell,1995,24,CHH
57,burtowi01PHI,Willie Burton,1995,26,PHI
58,butlemi02WSB,Mitchell Butler,1995,24,WSB
59,cagemi01CLE,Michael Cage,1995,33,CLE
60,caldwad01HOU,Adrian Caldwell,1995,28,HOU
61,campbel01LAL,Elden Campbell,1995,26,LAL
62,campbto01CLE,Tony Campbell,1995,32,CLE
63,carran01UTA,Antoine Carr,1995,33,UTA
64,cartwbi01SEA,Bill Cartwright,1995,37,SEA
65,cassesa01HOU,Sam Cassell,1995,25,HOU
66,causwdu01SAC,Duane Causwell,1995,26,SAC
67,cebalce01LAL,Cedric Ceballos,1995,25,LAL
68,chambto01UTA,Tom Chambers,1995,35,UTA
69,chapmre01WSB,Rex Chapman,1995,27,WSB
70,cheanca01WSB,Calbert Cheaney,1995,23,WSB
71,chilcpe01HOU,Pete Chilcutt,1995,26,HOU
72,childch01NJN,Chris Childs,1995,27,NJN
73,chrisdo01NYK,Doug Christie,1995,24,NYK
74,colemde01NJN,Derrick Coleman,1995,27,NJN
75,colesbi01MIA,Bimbo Coles,1995,26,MIA
76,coltest01CLE,Steve Colter,1995,32,CLE
77,conloma01MIL,Marty Conlon,1995,27,MIL
78,connele01LAL,Lester Conner,1995,35,LAL
79,corbity01ATL,Tyrone Corbin,1995,32,ATL
80,crottjo01UTA,John Crotty,1995,25,UTA
81,crowdco01SAS,Corey Crowder,1995,25,SAS
