,Player Code,Draft Number Picked,Draft Year,Player Name,College Name,Seasons in NBA
0,smithjo02,1,1995,Joe Smith,Maryland,16.0
1,mcdyean01,2,1995,Antonio McDyess,Alabama,15.0
2,stackje01,3,1995,Jerry Stackhouse,UNC,18.0
3,wallara01,4,1995,Rasheed Wallace,UNC,16.0
4,garneke01,5,1995,Kevin Garnett,,21.0
5,reevebr01,6,1995,Bryant Reeves,Oklahoma State,6.0
6,stoudda01,7,1995,Damon Stoudamire,Arizona,13.0
7,respesh01,8,1995,Shawn Respert,Michigan State,4.0
8,obanned01,9,1995,Ed O'Bannon,UCLA,2.0
9,thomaku01,10,1995,Kurt Thomas,TCU,18.0
10,trentga01,11,1995,Gary Trent,Ohio University,9.0
11,parksch02,12,1995,Cherokee Parks,Duke,9.0
12,willico02,13,1995,Corliss Williamson,Arkansas,12.0
13,willier01,14,1995,Eric Williams,Providence,12.0
14,iversal01,1,1996,Allen Iverson,Georgetown,14.0
15,cambyma01,2,1996,Marcus Camby,UMass,17.0
16,abdursh01,3,1996,Shareef Abdur-Rahim,California,12.0
17,marbust01,4,1996,Stephon Marbury,Georgia Tech,13.0
18,allenra02,5,1996,Ray Allen,UConn,18.0
19,walkean02,6,1996,Antoine Walker,Kentucky,12.0
20,wrighlo02,7,1996,Lorenzen Wright,Memphis,13.0
21,kittlke01,8,1996,Kerry Kittles,Villanova,8.0
22,walkesa01,9,1996,Samaki Walker,Louisville,10.0
23,dampier01,10,1996,Erick Dampier,Mississippi State,16.0
24,fulleto02,11,1996,Todd Fuller,NC State,5.0
25,potapvi01,12,1996,Vitaly Potapenko,Wright State University,11.0
26,bryanko01,13,1996,Kobe Bryant,,20.0
27,stojape01,14,1996,Peja Stojaković,,13.0
28,duncati01,1,1997,Tim Duncan,Wake Forest,19.0
29,vanhoke01,2,1997,Keith Van Horn,Utah,9.0
30,billuch01,3,1997,Chauncey Billups,Colorado,17.0
31,daniean01,4,1997,Antonio Daniels,Bowling Green,13.0
32,battito01,5,1997,Tony Battie,Texas Tech,14.0
33,mercero01,6,1997,Ron Mercer,Kentucky,8.0
34,thomati01,7,1997,Tim Thomas,Villanova,13.0
35,foylead01,8,1997,Adonal Foyle,Colgate,12.0
36,mcgratr01,9,1997,Tracy McGrady,,15.0
37,fortsda01,10,1997,Danny Fortson,Cincinnati,10.0
38,abdulta01,11,1997,Tariq Abdul-Wahad,San Jose State,6.0
39,croshau01,12,1997,Austin Croshere,Providence,12.0
40,anderde01,13,1997,Derek Anderson,Kentucky,11.0
41,tayloma01,14,1997,Maurice Taylor,Michigan,9.0
42,olowomi01,1,1998,Michael Olowokandi,University of the Pacific,9.0
43,bibbymi01,2,1998,Mike Bibby,Arizona,14.0
44,lafrera01,3,1998,Raef LaFrentz,Kansas,10.0
