,Player Code,Birthdate
0,smithjo02,7/26/1975
1,mcdyean01,9/7/1974
2,stackje01,11/5/1974
3,wallara01,9/17/1974
4,garneke01,5/19/1976
5,reevebr01,6/8/1973
6,stoudda01,9/3/1973
7,respesh01,2/6/1972
8,obanned01,8/14/1972
9,thomaku01,10/4/1972
10,trentga01,9/22/1974
11,parksch02,10/11/1972
12,willico02,12/4/1973
13,willier01,7/17/1972
14,iversal01,6/7/1975
15,cambyma01,3/22/1974
16,abdursh01,12/11/1976
17,marbust01,2/20/1977
18,allenra02,7/20/1975
19,walkean02,8/12/1976
20,wrighlo02,11/4/1975
21,kittlke01,6/12/1974
22,walkesa01,2/25/1976
23,dampier01,7/14/1975
24,fulleto02,7/25/1974
25,potapvi01,3/21/1975
26,bryanko01,8/23/1978
27,stojape01,6/9/1977
28,duncati01,4/25/1976
29,vanhoke01,10/23/1975
30,billuch01,9/25/1976
31,daniean01,3/19/1975
32,battito01,2/11/1976
33,mercero01,5/18/1976
34,thomati01,2/26/1977
35,foylead01,3/9/1975
36,mcgratr01,5/24/1979
37,fortsda01,3/27/1976
38,abdulta01,11/3/1974
39,croshau01,5/1/1975
40,anderde01,7/18/1974
41,tayloma01,10/30/1976
42,olowomi01,4/3/1975
43,bibbymi01,5/13/1978
44,lafrera01,5/29/1976
45,jamisan01,6/12/1976
46,cartevi01,1/26/1977
47,traylro01,2/1/1977
48,willija02,11/18/1975
49,hughela01,1/23/1979
50,nowitdi01,6/19/1978
51,piercpa01,10/13/1977
52,wellsbo01,9/28/1976
53,doleami01,6/15/1977
54,clarkke01,4/16/1975
55,dickemi01,6/25/1975
56,brandel01,3/11/1979
57,francst01,2/21/1977
58,davisba01,4/13/1979
59,odomla01,11/6/1979
60,bendejo01,1/30/1981
61,szczewa02,3/5/1977
62,hamilri01,2/14/1978
63,millean02,3/19/1976
64,mariosh01,5/7/1978
65,terryja01,9/15/1977
66,langdtr01,5/13/1976
67,radojal01,8/8/1976
68,maggeco01,11/12/1979
69,averywi01,8/8/1979
70,martike01,12/30/1977
71,swiftst01,11/21/1979
72,milesda01,10/9/1981
73,fizerma01,8/10/1978
74,millemi01,2/19/1980
75,johnsde03,5/5/1980
76,mihmch01,7/16/1979
77,crawfja01,3/20/1980
78,przybjo01,10/10/1979
79,doolike01,5/8/1980
80,moisoje01,6/15/1978
81,thomaet01,4/1/1978
82,alexaco02,4/27/1977
83,cleavma01,9/7/1977
84,brownkw01,3/10/1982
85,chandty01,10/2/1982
86,gasolpa01,7/6/1980
87,curryed01,12/5/1982
88,richaja01,1/20/1981
89,battish01,9/9/1978
90,griffed01,5/30/1982
91,diopde01,1/30/1982
92,whitero02,6/28/1980
93,johnsjo02,6/29/1981
94,brownke01,3/18/1981
95,radmavl01,11/19/1980
96,jefferi01,6/21/1980
97,murphtr01,5/2/1980
98,mingya01,9/12/1980
99,willija03,9/10/1981
100,dunlemi02,9/15/1980
101,goodedr01,9/24/1981
102,tskitni01,4/14/1983
103,wagneda02,2/4/1983
104,hilarne01,9/13/1982
105,wilcoch01,9/3/1982
106,stoudam01,11/16/1982
107,butleca01,3/13/1980
108,jeffrja01,11/25/1981
109,elyme01,5/2/1978
110,haislma01,12/22/1980
111,jonesfr01,3/11/1979
112,jamesle01,12/30/1984
113,milicda01,6/20/1985
114,anthoca01,5/29/1984
115,boshch01,3/24/1984
116,wadedw01,1/17/1982
117,kamanch01,4/28/1982
118,hinriki01,1/2/1981
119,fordtj01,3/24/1983
120,sweetmi01,10/25/1982
121,hayesja01,8/9/1981
122,pietrmi01,2/7/1982
123,collini01,10/26/1980
124,banksma01,11/19/1981
125,ridnolu01,2/13/1981
126,howardw01,12/8/1985
127,okafoem01,9/28/1982
128,gordobe01,4/4/1983
129,livinsh01,9/11/1985
130,harride01,2/27/1983
131,childjo01,6/20/1983
132,denglu01,4/16/1985
133,araujra01,8/12/1980
134,iguodan01,1/28/1984
135,jackslu02,11/6/1981
136,biedran01,4/2/1986
137,swiftro01,12/3/1985
138,telfase01,6/9/1985
139,humphkr01,2/6/1985
140,bogutan01,11/28/1984
141,willima02,6/19/1986
142,willide01,6/26/1984
143,paulch01,5/6/1985
144,feltora01,6/26/1984
145,webstma02,12/4/1986
146,villach01,8/24/1984
147,fryech01,5/17/1983
148,dioguik01,9/11/1983
149,bynuman01,10/27/1987
150,vazqufr01,5/1/1983
151,korolya01,5/7/1987
152,mayse01,4/4/1984
153,mccanra01,9/25/1984
154,bargnan01,10/26/1985
155,aldrila01,7/19/1985
156,morriad01,7/19/1984
157,thomaty01,8/17/1986
158,willish02,10/21/1983
159,roybr01,7/23/1984
160,foyera01,9/24/1983
161,gayru01,8/17/1986
162,obryapa01,6/20/1986
163,senesa01,5/12/1986
