,country_id,Country,latitude,longitude
0,1,Afghanistan,33.0,65.0
1,2,Aland Islands,60.116667,19.9
2,3,Albania,41.0,20.0
3,4,Algeria,28.0,3.0
4,5,American Samoa,-14.33333333,-170.0
5,6,Andorra,42.5,1.5
6,7,Angola,-12.5,18.5
7,8,Anguilla,18.25,-63.16666666
8,9,Antarctica,-74.65,4.48
9,10,Antigua And Barbuda,17.05,-61.8
10,11,Argentina,-34.0,-64.0
11,12,Armenia,40.0,45.0
12,13,Aruba,12.5,-69.96666666
13,14,Australia,-27.0,133.0
14,15,Austria,47.33333333,13.33333333
15,16,Azerbaijan,40.5,47.5
16,17,Bahamas The,24.25,-76.0
17,18,Bahrain,26.0,50.55
18,19,Bangladesh,24.0,90.0
19,20,Barbados,13.16666666,-59.53333333
20,21,Belarus,53.0,28.0
21,22,Belgium,50.83333333,4.0
22,23,Belize,17.25,-88.75
23,24,Benin,9.5,2.25
24,25,Bermuda,32.33333333,-64.75
25,26,Bhutan,27.5,90.5
26,27,Bolivia,-17.0,-65.0
27,155,"Bonaire, Sint Eustatius and Saba",12.15,-68.266667
28,28,Bosnia and Herzegovina,44.0,18.0
29,29,Botswana,-22.0,24.0
30,30,Bouvet Island,-54.43333333,3.4
31,31,Brazil,-10.0,-55.0
32,32,British Indian Ocean Territory,-6.0,71.5
33,33,Brunei,4.5,114.66666666
34,34,Bulgaria,43.0,25.0
35,35,Burkina Faso,13.0,-2.0
36,36,Burundi,-3.5,30.0
37,37,Cambodia,13.0,105.0
38,38,Cameroon,6.0,12.0
39,39,Canada,60.0,-95.0
40,40,Cape Verde,16.0,-24.0
41,41,Cayman Islands,19.5,-80.5
42,42,Central African Republic,7.0,21.0
43,43,Chad,15.0,19.0
44,44,Chile,-30.0,-71.0
45,45,China,35.0,105.0
46,46,Christmas Island,-10.5,105.66666666
47,47,Cocos (Keeling) Islands,-12.5,96.83333333
48,48,Colombia,4.0,-72.0
49,49,Comoros,-12.16666666,44.25
50,50,Congo,-1.0,15.0
51,51,Congo The Democratic Republic Of The,0.0,25.0
52,52,Cook Islands,-21.23333333,-159.76666666
53,53,Costa Rica,10.0,-84.0
54,54,Cote D'Ivoire (Ivory Coast),8.0,-5.0
55,55,Croatia (Hrvatska),45.16666666,15.5
56,56,Cuba,21.5,-80.0
57,249,Curacao,12.116667,-68.933333
58,57,Cyprus,35.0,33.0
59,58,Czech Republic,49.75,15.5
60,59,Denmark,56.0,10.0
61,60,Djibouti,11.5,43.0
62,61,Dominica,15.41666666,-61.33333333
63,62,Dominican Republic,19.0,-70.66666666
64,63,East Timor,-8.83333333,125.91666666
65,64,Ecuador,-2.0,-77.5
66,65,Egypt,27.0,30.0
67,66,El Salvador,13.83333333,-88.91666666
68,67,Equatorial Guinea,2.0,10.0
69,68,Eritrea,15.0,39.0
70,69,Estonia,59.0,26.0
71,70,Ethiopia,8.0,38.0
72,71,Falkland Islands,-51.75,-59.0
73,72,Faroe Islands,62.0,-7.0
74,73,Fiji Islands,-18.0,175.0
75,74,Finland,64.0,26.0
76,75,France,46.0,2.0
77,76,French Guiana,4.0,-53.0
78,77,French Polynesia,-15.0,-140.0
79,78,French Southern Territories,-49.25,69.167
80,79,Gabon,-1.0,11.75
81,80,Gambia The,13.46666666,-16.56666666
82,81,Georgia,42.0,43.5
83,82,Germany,51.0,9.0
84,83,Ghana,8.0,-2.0
85,84,Gibraltar,36.13333333,-5.35
86,85,Greece,39.0,22.0
87,86,Greenland,72.0,-40.0
88,87,Grenada,12.11666666,-61.66666666
89,88,Guadeloupe,16.25,-61.583333
90,89,Guam,13.46666666,144.78333333
91,90,Guatemala,15.5,-90.25
92,91,Guernsey and Alderney,49.46666666,-2.58333333
93,92,Guinea,11.0,-10.0
94,93,Guinea-Bissau,12.0,-15.0
95,94,Guyana,5.0,-59.0
96,95,Haiti,19.0,-72.41666666
97,96,Heard Island and McDonald Islands,-53.1,72.51666666
98,97,Honduras,15.0,-86.5
99,98,Hong Kong S.A.R.,22.25,114.16666666
100,99,Hungary,47.0,20.0
101,100,Iceland,65.0,-18.0
102,101,India,20.0,77.0
103,102,Indonesia,-5.0,120.0
104,103,Iran,32.0,53.0
105,104,Iraq,33.0,44.0
106,105,Ireland,53.0,-8.0
107,106,Israel,31.5,34.75
108,107,Italy,42.83333333,12.83333333
109,108,Jamaica,18.25,-77.5
110,109,Japan,36.0,138.0
111,110,Jersey,49.25,-2.16666666
112,111,Jordan,31.0,36.0
113,112,Kazakhstan,48.0,68.0
114,113,Kenya,1.0,38.0
