Player Name,Season,Salary
Shaquille O'Neal,1999-00,17142000.0
Kevin Garnett,1999-00,16806000.0
Alonzo Mourning,1999-00,15004000.0
Juwan Howard,1999-00,15000000.0
Scottie Pippen,1999-00,14795000.0
Karl Malone,1999-00,14000000.0
Larry Johnson,1999-00,11910000.0
Gary Payton,1999-00,11020000.0
Rasheed Wallace,1999-00,10800000.0
Shawn Kemp,1999-00,10780000.0
Damon Stoudamire,1999-00,10125000.0
Antonio McDyess,1999-00,9900000.0
Ray Allen,1999-00,9000000.0
Antoine Walker,1999-00,9000000.0
Stephon Marbury,1999-00,9000000.0
Vlade Divac,1999-00,8837000.0
Bryant Reeves,1999-00,8666000.0
Tom Gugliotta,1999-00,8558000.0
Nick Van Exel,1999-00,8354000.0
Elden Campbell,1999-00,7975000.0
Terrell Brandon,1999-00,7400000.0
Derrick Coleman,1999-00,7370000.0
Glenn Robinson,1999-00,7250000.0
Steve Smith,1999-00,7200000.0
Kerry Kittles,1999-00,7166000.0
Chris Dudley,1999-00,7100000.0
Theo Ratliff,1999-00,7031000.0
Matt Geiger,1999-00,6889000.0
Jason Kidd,1999-00,6858000.0
Kenny Anderson,1999-00,6680000.0
Tyrone Hill,1999-00,6422000.0
Clifford Robinson,1999-00,6125000.0
Jamal Mashburn,1999-00,5600000.0
Steve Nash,1999-00,5500000.0
Alan Henderson,1999-00,5318000.0
Donyell Marshall,1999-00,5250000.0
Marcus Camby,1999-00,5250000.0
Greg Ostertag,1999-00,5200000.0
Luc Longley,1999-00,5175000.0
P.J. Brown,1999-00,5124000.0
Jermaine O'Neal,1999-00,5075000.0
Erick Dampier,1999-00,4988000.0
Wesley Person,1999-00,4900000.0
Isaac Austin,1999-00,4819000.0
Loy Vaught,1999-00,4810000.0
Derrick McKey,1999-00,4800000.0
Robert Horry,1999-00,4800000.0
Jim McIlvaine,1999-00,4800000.0
Jerry Stackhouse,1999-00,4781000.0
Charlie Ward,1999-00,4540000.0
Dale Davis,1999-00,4490000.0
Lorenzen Wright,1999-00,4400000.0
Mookie Blaylock,1999-00,4200000.0
Chris Mills,1999-00,4200000.0
Chris Childs,1999-00,4160000.0
Darrell Armstrong,1999-00,4125000.0
Bryon Russell,1999-00,4000000.0
Brent Barry,1999-00,3960000.0
Jason Caffey,1999-00,3937000.0
Vitaly Potapenko,1999-00,3810000.0
Bob Sura,1999-00,3760000.0
Walt Williams,1999-00,3750000.0
Scott Williams,1999-00,3750000.0
Sam Cassell,1999-00,3500000.0
Michael Olowokandi,1999-00,3456000.0
Elton Brand,1999-00,3375000.0
Eric Williams,1999-00,3336000.0
Travis Best,1999-00,3250000.0
Michael Stewart,1999-00,3200000.0
Derek Strong,1999-00,3159000.0
Mike Bibby,1999-00,3092000.0
Rick Fox,1999-00,3033000.0
Steve Francis,1999-00,3020000.0
Derek Fisher,1999-00,3000000.0
Eric Snow,1999-00,3000000.0
Ervin Johnson,1999-00,2951000.0
Brent Price,1999-00,2944000.0
Travis Knight,1999-00,2800000.0
Raef LaFrentz,1999-00,2777000.0
Tracy Murray,1999-00,2720000.0
Tyrone Nesby,1999-00,2716000.0
Baron Davis,1999-00,2712000.0
Vonteego Cummings,1999-00,2600000.0
David Wesley,1999-00,2520000.0
Dean Garrett,1999-00,2520000.0
Antawn Jamison,1999-00,2503000.0
Walter McCarty,1999-00,2500000.0
Anthony Peeler,1999-00,2495000.0
Lamar Odom,1999-00,2445000.0
Cedric E. Henderson,1999-00,2400000.0
Lawrence Funderburke,1999-00,2400000.0
Lindsey Hunter,1999-00,2350000.0
Malik Rose,1999-00,2285000.0
Vince Carter,1999-00,2267000.0
Jonathan Bender,1999-00,2214000.0
Dell Curry,1999-00,2100000.0
Robert Traylor,1999-00,2059000.0
Othella Harrington,1999-00,2025000.0
Wally Szczerbiak,1999-00,2011000.0
Terry Porter,1999-00,2000000.0
Rodney Rogers,1999-00,2000000.0
Jamie Feick,1999-00,2000000.0
Eric Montross,1999-00,2000000.0
Chris Crawford,1999-00,2000000.0
Steve Kerr,1999-00,1968000.0
Vinny Del Negro,1999-00,1925000.0
Sean Rooks,1999-00,1920000.0
Lucious Harris,1999-00,1920000.0
Jason Williams,1999-00,1879000.0
Richard Hamilton,1999-00,1836000.0
Larry Hughes,1999-00,1722000.0
Andre Miller,1999-00,1682000.0
Dirk Nowitzki,1999-00,1583000.0
