Basketball Reference ID,Birthdate
smithjo02,7/26/1975
mcdyean01,9/7/1974
stackje01,11/5/1974
wallara01,9/17/1974
garneke01,5/19/1976
reevebr01,6/8/1973
stoudda01,9/3/1973
respesh01,2/6/1972
obanned01,8/14/1972
thomaku01,10/4/1972
trentga01,9/22/1974
parksch02,10/11/1972
willico02,12/4/1973
willier01,7/17/1972
iversal01,6/7/1975
cambyma01,3/22/1974
abdursh01,12/11/1976
marbust01,2/20/1977
allenra02,7/20/1975
walkean02,8/12/1976
wrighlo02,11/4/1975
kittlke01,6/12/1974
walkesa01,2/25/1976
dampier01,7/14/1975
fulleto02,7/25/1974
potapvi01,3/21/1975
bryanko01,8/23/1978
stojape01,6/9/1977
duncati01,4/25/1976
vanhoke01,10/23/1975
billuch01,9/25/1976
daniean01,3/19/1975
battito01,2/11/1976
mercero01,5/18/1976
thomati01,2/26/1977
foylead01,3/9/1975
mcgratr01,5/24/1979
fortsda01,3/27/1976
abdulta01,11/3/1974
croshau01,5/1/1975
anderde01,7/18/1974
tayloma01,10/30/1976
olowomi01,4/3/1975
bibbymi01,5/13/1978
lafrera01,5/29/1976
jamisan01,6/12/1976
cartevi01,1/26/1977
traylro01,2/1/1977
willija02,11/18/1975
hughela01,1/23/1979
nowitdi01,6/19/1978
piercpa01,10/13/1977
wellsbo01,9/28/1976
doleami01,6/15/1977
clarkke01,4/16/1975
dickemi01,6/25/1975
brandel01,3/11/1979
francst01,2/21/1977
davisba01,4/13/1979
odomla01,11/6/1979
bendejo01,1/30/1981
szczewa02,3/5/1977
hamilri01,2/14/1978
millean02,3/19/1976
mariosh01,5/7/1978
terryja01,9/15/1977
langdtr01,5/13/1976
radojal01,8/8/1976
maggeco01,11/12/1979
averywi01,8/8/1979
martike01,12/30/1977
swiftst01,11/21/1979
milesda01,10/9/1981
fizerma01,8/10/1978
millemi01,2/19/1980
johnsde03,5/5/1980
mihmch01,7/16/1979
crawfja01,3/20/1980
przybjo01,10/10/1979
doolike01,5/8/1980
moisoje01,6/15/1978
thomaet01,4/1/1978
alexaco02,4/27/1977
cleavma01,9/7/1977
brownkw01,3/10/1982
chandty01,10/2/1982
gasolpa01,7/6/1980
curryed01,12/5/1982
richaja01,1/20/1981
battish01,9/9/1978
griffed01,5/30/1982
diopde01,1/30/1982
whitero02,6/28/1980
johnsjo02,6/29/1981
brownke01,3/18/1981
radmavl01,11/19/1980
jefferi01,6/21/1980
murphtr01,5/2/1980
mingya01,9/12/1980
willija03,9/10/1981
dunlemi02,9/15/1980
goodedr01,9/24/1981
tskitni01,4/14/1983
wagneda02,2/4/1983
hilarne01,9/13/1982
wilcoch01,9/3/1982
stoudam01,11/16/1982
butleca01,3/13/1980
jeffrja01,11/25/1981
elyme01,5/2/1978
haislma01,12/22/1980
jonesfr01,3/11/1979
jamesle01,12/30/1984
milicda01,6/20/1985
anthoca01,5/29/1984
boshch01,3/24/1984
wadedw01,1/17/1982
kamanch01,4/28/1982
hinriki01,1/2/1981
fordtj01,3/24/1983
sweetmi01,10/25/1982
hayesja01,8/9/1981
pietrmi01,2/7/1982
collini01,10/26/1980
banksma01,11/19/1981
ridnolu01,2/13/1981
howardw01,12/8/1985
okafoem01,9/28/1982
gordobe01,4/4/1983
