,Player Name,Seasons in NBA,First Season Played,Last Season Played,Birthdate,Birth City,Birth State or Country,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year
0,Michael Ansley,3,1990,1992,1967-02-08,Birmingham,Alabama,University of Alabama,37th overall,2nd round,Orlando Magic,1989
1,Keith Askins,9,1991,1999,1967-12-15,Athens,Alabama,University of Alabama,,,,
2,Carl Bailey,1,1982,1982,1958-04-23,Birmingham,Alabama,Tuskegee University,66th overall,3rd round,Seattle SuperSonics,1980
3,Charles Barkley,16,1985,2000,1963-02-20,Leeds,Alabama,Auburn University,5th overall,1st round,Philadelphia 76ers,1984
4,Eric Bledsoe,12,2011,2022,1989-12-09,Birmingham,Alabama,University of Kentucky,18th overall,1st round,Oklahoma City Thunder,2010
5,Tom Boswell,6,1976,1984,1953-10-02,Montgomery,Alabama,"South Carolina State University, University of South Carolina",17th overall,1st round,Boston Celtics,1975
6,David Bustion,1,1973,1973,1949-08-30,Gadsden,Alabama,University of Denver,68th overall,5th round,Kansas City-Omaha Kings,1972
7,Al Butler,4,1962,1965,1938-07-09,Birmingham,Alabama,Niagara University,17th overall,2nd round,Boston Celtics,1961
8,Jason Caffey,8,1996,2003,1973-06-12,Mobile,Alabama,University of Alabama,20th overall,1st round,Chicago Bulls,1995
9,DeMarre Carroll,11,2010,2020,1986-07-27,Birmingham,Alabama,"Vanderbilt University, University of Missouri",27th overall,1st round,Memphis Grizzlies,2009
10,Bobby Cattage,2,1982,1986,1958-08-17,Huntsville,Alabama,Auburn University,165th overall,8th round,Utah Jazz,1981
11,Derrick Coleman,15,1991,2005,1967-06-21,Mobile,Alabama,Syracuse University,1st overall,1st round,New Jersey Nets,1990
12,DeMarcus Cousins,11,2011,2022,1990-08-13,Mobile,Alabama,University of Kentucky,5th overall,1st round,Sacramento Kings,2010
13,Michael Curry,11,1994,2005,1968-08-22,Anniston,Alabama,Georgia Southern University,,,,
14,Fennis Dembo,1,1989,1989,1966-01-24,Mobile,Alabama,University of Wyoming,30th overall,2nd round,Detroit Pistons,1988
15,John Douglas,2,1982,1983,1956-06-12,Town Creek,Alabama,University of Kansas,118th overall,6th round,New Orleans Jazz,1978
16,Leon Douglas,7,1977,1983,1954-08-26,Leighton,Alabama,University of Alabama,4th overall,1st round,Detroit Pistons,1976
17,John Drew,11,1975,1985,1954-09-30,Vredenburgh,Alabama,Gardner-Webb University,25th overall,2nd round,Atlanta Hawks,1974
18,TR Dunn,14,1978,1991,1955-02-01,Birmingham,Alabama,University of Alabama,41st overall,2nd round,Portland Trail Blazers,1977
19,Jim Farmer,5,1988,1994,1964-09-23,Dothan,Alabama,University of Alabama,20th overall,1st round,Dallas Mavericks,1987
20,Trent Forrest,2,2021,2022,1998-06-12,Dothan,Alabama,,,,,
21,Rod Foster,3,1984,1986,1960-10-10,Birmingham,Alabama,"University of California, Los Angeles",28th overall,2nd round,Phoenix Suns,1983
22,Mickell Gladness,1,2012,2012,1986-07-26,Birmingham,Alabama,Alabama A&M University,,,,
23,Orlando Graham,1,1989,1989,1965-05-05,Montgomery,Alabama,"West Texas A&M University, Auburn University at Montgomery",40th overall,2nd round,Miami Heat,1988
24,Travis Grant,4,1973,1976,1950-01-01,Clayton,Alabama,Kentucky State University,13th overall,1st round,Los Angeles Lakers,1972
25,JaMychal Green,8,2015,2022,1990-06-21,Montgomery,Alabama,University of Alabama,,,,
26,Lamar Green,6,1970,1975,1947-03-22,Birmingham,Alabama,Morehead State University,33rd overall,3rd round,Phoenix Suns,1969
27,Donta Hall,2,2020,2021,1997-08-07,Luverne,Alabama,,,,,
28,Darrin Hancock,3,1995,1997,1971-11-03,Birmingham,Alabama,University of Kansas,38th overall,2nd round,Charlotte Hornets,1994
29,Cecil Hankins,2,1947,1948,1922-01-06,Covin,Alabama,Oklahoma State University,,,,
30,James Hardy,4,1979,1982,1956-12-01,Knoxville,Alabama,University of San Francisco,11th overall,1st round,New Orleans Jazz,1978
31,Johnny High,4,1980,1984,1957-04-25,Birmingham,Alabama,"University of Nevada, Reno",24th overall,2nd round,Phoenix Suns,1979
32,Cedrick Hordges,2,1981,1982,1957-01-08,Montgomery,Alabama,"Auburn University, University of South Carolina",49th overall,3rd round,Chicago Bulls,1979
33,Robert Horry,16,1993,2008,1970-08-25,Andalusia,Alabama,University of Alabama,11th overall,1st round,Houston Rockets,1992
34,Elvin Ivory,1,1969,1969,1948-07-02,Birmingham,Alabama,University of Louisiana at Lafayette,,,,
35,Stanley Jackson,1,1994,1994,1970-10-10,Tuskegee,Alabama,University of Alabama at Birmingham,,,,
36,Henry James,7,1991,1998,1965-07-29,Centreville,Alabama,"South Plains College, St. Mary's University",,,,
37,Buck Johnson,7,1987,1993,1964-01-03,Birmingham,Alabama,University of Alabama,20th overall,1st round,Houston Rockets,1986
38,Ken Johnson,1,1986,1986,1962-11-07,Tuskegee,Alabama,"University of Southern California, Michigan State University",28th overall,2nd round,Chicago Bulls,1985
39,Nate Johnston,1,1990,1990,1966-12-18,Birmingham,Alabama,University of Tampa,59th overall,3rd round,Miami Heat,1988
40,Edgar Jones,6,1981,1986,1956-06-17,Fort Rucker,Alabama,"University of Nevada, Reno",31st overall,2nd round,Milwaukee Bucks,1979
41,Herbert Jones,1,2022,2022,1998-10-06,Tuscaloosa,Alabama,,,,,
42,Walter Jordan,1,1981,1981,1956-02-19,Perry,Alabama,Purdue University,84th overall,4th round,New Jersey Nets,1978
43,Larry Kenon,10,1974,1983,1952-12-13,Birmingham,Alabama,University of Memphis,50th overall,3rd round,Detroit Pistons,1973
44,Warren Kidd,1,1994,1994,1970-09-09,Harpersville,Alabama,Middle Tennessee State University,,,,
45,Stan Kimbrough,2,1990,1993,1966-04-24,Tuscaloosa,Alabama,"University of Central Florida, Xavier University",,,,
46,Reggie King,6,1980,1985,1957-02-14,Birmingham,Alabama,University of Alabama,18th overall,1st round,Kansas City Kings,1979
47,Antonio Lang,6,1995,2000,1972-05-15,Mobile,Alabama,Duke University,29th overall,2nd round,Phoenix Suns,1994
48,James Lang,1,2007,2007,1983-10-17,Mobile,Alabama,,48th overall,2nd round,New Orleans Hornets,2003
49,Kira Lewis Jr,2,2021,2022,2001-04-06,Meridianville,Alabama,,,,,
50,Josh Magette,2,2018,2020,1989-11-28,Birmingham,Alabama,Alabama - Huntsville,,,,
51,Jeff Malone,13,1984,1996,1961-06-28,Mobile,Alabama,Mississippi State University,10th overall,1st round,Washington Bullets,1983
