,Player Name,Seasons in NBA,First Season Played,Last Season Played,Birthdate,Birth City,Birth State or Country,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year,Team (3 Letter),Age,Player Height,Player Weight,Season,Salary,Team City,Team State,Team Name
0,Michael Ansley,3,1990,1992,1967-02-08,Birmingham,Alabama,University of Alabama,37th overall,2nd round,Orlando Magic,1989,,,,,,,,,
1,Keith Askins,9,1991,1999,1967-12-15,Athens,Alabama,University of Alabama,,,,,,,,,,,,,
2,Carl Bailey,1,1982,1982,1958-04-23,Birmingham,Alabama,Tuskegee University,66th overall,3rd round,Seattle SuperSonics,1980,,,,,,,,,
3,Charles Barkley,16,1985,2000,1963-02-20,Leeds,Alabama,Auburn University,5th overall,1st round,Philadelphia 76ers,1984,HOU,37.0,198.12,114.305184,1999-00,,Houston,Texas,Houston Rockets
4,Eric Bledsoe,12,2011,2022,1989-12-09,Birmingham,Alabama,University of Kentucky,18th overall,1st round,Oklahoma City Thunder,2010,LAC,21.0,185.42,88.45044,2010-11,1485000.0,Los Angeles,California,LA Clippers
5,Eric Bledsoe,12,2011,2022,1989-12-09,Birmingham,Alabama,University of Kentucky,18th overall,1st round,Oklahoma City Thunder,2010,LAC,22.0,185.42,88.45044,2011-12,1596360.0,Los Angeles,California,LA Clippers
6,Eric Bledsoe,12,2011,2022,1989-12-09,Birmingham,Alabama,University of Kentucky,18th overall,1st round,Oklahoma City Thunder,2010,LAC,23.0,185.42,88.45044,2012-13,1707720.0,Los Angeles,California,LA Clippers
7,Eric Bledsoe,12,2011,2022,1989-12-09,Birmingham,Alabama,University of Kentucky,18th overall,1st round,Oklahoma City Thunder,2010,PHX,24.0,185.42,88.45044,2013-14,2626473.0,Phoenix,Arizona,Phoenix Suns
8,Eric Bledsoe,12,2011,2022,1989-12-09,Birmingham,Alabama,University of Kentucky,18th overall,1st round,Oklahoma City Thunder,2010,PHX,25.0,185.42,88.45044,2014-15,13000000.0,Phoenix,Arizona,Phoenix Suns
9,Eric Bledsoe,12,2011,2022,1989-12-09,Birmingham,Alabama,University of Kentucky,18th overall,1st round,Oklahoma City Thunder,2010,PHX,26.0,185.42,86.18248,2015-16,13500000.0,Phoenix,Arizona,Phoenix Suns
10,Eric Bledsoe,12,2011,2022,1989-12-09,Birmingham,Alabama,University of Kentucky,18th overall,1st round,Oklahoma City Thunder,2010,PHX,27.0,185.42,92.98636,2016-17,14000000.0,Phoenix,Arizona,Phoenix Suns
11,Eric Bledsoe,12,2011,2022,1989-12-09,Birmingham,Alabama,University of Kentucky,18th overall,1st round,Oklahoma City Thunder,2010,MIL,28.0,185.42,92.98636,2017-18,14500000.0,Milwaukee,Wisconsin,Milwaukee Bucks
12,Eric Bledsoe,12,2011,2022,1989-12-09,Birmingham,Alabama,University of Kentucky,18th overall,1st round,Oklahoma City Thunder,2010,MIL,29.0,185.42,92.98636,2018-19,15000000.0,Milwaukee,Wisconsin,Milwaukee Bucks
13,Eric Bledsoe,12,2011,2022,1989-12-09,Birmingham,Alabama,University of Kentucky,18th overall,1st round,Oklahoma City Thunder,2010,MIL,30.0,185.42,97.068688,2019-20,15625000.0,Milwaukee,Wisconsin,Milwaukee Bucks
14,Tom Boswell,6,1976,1984,1953-10-02,Montgomery,Alabama,"South Carolina State University, University of South Carolina",17th overall,1st round,Boston Celtics,1975,,,,,,,,,
15,David Bustion,1,1973,1973,1949-08-30,Gadsden,Alabama,University of Denver,68th overall,5th round,Kansas City-Omaha Kings,1972,,,,,,,,,
16,Al Butler,4,1962,1965,1938-07-09,Birmingham,Alabama,Niagara University,17th overall,2nd round,Boston Celtics,1961,,,,,,,,,
17,Jason Caffey,8,1996,2003,1973-06-12,Mobile,Alabama,University of Alabama,20th overall,1st round,Chicago Bulls,1995,GSW,27.0,203.2,116.119552,1999-00,3937000.0,San Francisco,California,Golden State Warriors
18,Jason Caffey,8,1996,2003,1973-06-12,Mobile,Alabama,University of Alabama,20th overall,1st round,Chicago Bulls,1995,MIL,28.0,203.2,116.119552,2000-01,4380000.0,Milwaukee,Wisconsin,Milwaukee Bucks
19,Jason Caffey,8,1996,2003,1973-06-12,Mobile,Alabama,University of Alabama,20th overall,1st round,Chicago Bulls,1995,MIL,29.0,203.2,116.119552,2001-02,4812500.0,Milwaukee,Wisconsin,Milwaukee Bucks
20,Jason Caffey,8,1996,2003,1973-06-12,Mobile,Alabama,University of Alabama,20th overall,1st round,Chicago Bulls,1995,MIL,30.0,203.2,116.119552,2002-03,5250000.0,Milwaukee,Wisconsin,Milwaukee Bucks
21,DeMarre Carroll,11,2010,2020,1986-07-27,Birmingham,Alabama,"Vanderbilt University, University of Missouri",27th overall,1st round,Memphis Grizzlies,2009,MEM,23.0,203.2,96.161504,2009-10,1009680.0,Memphis,Tennessee,Memphis Grizzlies
22,DeMarre Carroll,11,2010,2020,1986-07-27,Birmingham,Alabama,"Vanderbilt University, University of Missouri",27th overall,1st round,Memphis Grizzlies,2009,HOU,24.0,203.2,96.161504,2010-11,1085400.0,Houston,Texas,Houston Rockets
23,DeMarre Carroll,11,2010,2020,1986-07-27,Birmingham,Alabama,"Vanderbilt University, University of Missouri",27th overall,1st round,Memphis Grizzlies,2009,UTA,25.0,203.2,96.161504,2011-12,833713.0,Salt Lake City,Utah,Utah Jazz
24,DeMarre Carroll,11,2010,2020,1986-07-27,Birmingham,Alabama,"Vanderbilt University, University of Missouri",27th overall,1st round,Memphis Grizzlies,2009,UTA,26.0,203.2,96.161504,2012-13,885120.0,Salt Lake City,Utah,Utah Jazz
25,DeMarre Carroll,11,2010,2020,1986-07-27,Birmingham,Alabama,"Vanderbilt University, University of Missouri",27th overall,1st round,Memphis Grizzlies,2009,ATL,27.0,203.2,96.161504,2013-14,2500000.0,Atlanta,Georgia,Atlanta Hawks
26,DeMarre Carroll,11,2010,2020,1986-07-27,Birmingham,Alabama,"Vanderbilt University, University of Missouri",27th overall,1st round,Memphis Grizzlies,2009,ATL,28.0,203.2,96.161504,2014-15,2500000.0,Atlanta,Georgia,Atlanta Hawks
27,DeMarre Carroll,11,2010,2020,1986-07-27,Birmingham,Alabama,"Vanderbilt University, University of Missouri",27th overall,1st round,Memphis Grizzlies,2009,TOR,29.0,203.2,96.161504,2015-16,13600000.0,Toronto,Canada,Toronto Raptors
28,DeMarre Carroll,11,2010,2020,1986-07-27,Birmingham,Alabama,"Vanderbilt University, University of Missouri",27th overall,1st round,Memphis Grizzlies,2009,TOR,30.0,203.2,96.161504,2016-17,14200000.0,Toronto,Canada,Toronto Raptors
