,Player Name,Team (3 Letter),Age,Player Height,Player Weight,Season,Salary
0,Michael Smith,WAS,28,203.2,108.86208,1999-00,
1,Michael Finley,DAL,27,200.66,97.52228,1999-00,
2,Michael Stewart,TOR,25,208.28,104.32616,1999-00,3200000.0
3,Michael Ruffin,CHI,23,205.74,111.583632,1999-00,
4,Michael Olowokandi,LAC,25,213.36,122.016248,1999-00,3456000.0
5,Michael Hawkins,CHH,27,182.88,80.73937600000001,1999-00,
6,Maurice Taylor,LAC,23,205.74,117.93392,1999-00,
7,Metta World Peace,CHI,20,198.12,110.676448,1999-00,1079000.0
8,Michael Dickerson,VAN,25,195.58,86.18248,1999-00,1224000.0
9,Michael Curry,DET,31,195.58,102.965384,1999-00,
10,Michael Cage,NJN,38,205.74,101.604608,1999-00,
11,Mike Bibby,VAN,22,187.96,86.18248,1999-00,3092000.0
12,Matt Maloney,CHI,28,190.5,90.7184,1999-00,
13,Michael Doleac,ORL,23,210.82,118.841104,1999-00,
14,Mikki Moore,DET,24,213.36,102.0582,1999-00,
15,Othella Harrington,VAN,26,205.74,106.59412,1999-00,2025000.0
16,Mirsad Turkcan,MIL,24,205.74,97.975872,1999-00,
17,Jeff Hornacek,UTA,37,193.04,86.18248,1999-00,
18,Matt Harpring,ORL,24,200.66,104.779752,1999-00,1163000.0
19,PJ Brown,MIA,30,210.82,108.86208,1999-00,5124000.0
20,Otis Thorpe,MIA,37,208.28,111.583632,1999-00,
21,Oliver Miller,PHX,30,205.74,142.88148,1999-00,
22,Olden Polynice,UTA,35,213.36,113.398,1999-00,
23,Obinna Ekezie,VAN,24,205.74,122.46984,1999-00,
24,Nick Van Exel,DEN,28,185.42,86.18248,1999-00,8354000.0
25,Nick Anderson,SAC,32,198.12,103.418976,1999-00,
26,Nazr Mohammed,PHI,22,208.28,100.243832,1999-00,
27,Muggsy Bogues,TOR,35,160.02,63.956472,1999-00,
28,Mookie Blaylock,GSW,33,185.42,83.91452,1999-00,4200000.0
29,Moochie Norris,HOU,26,185.42,79.3786,1999-00,
30,Monty Williams,ORL,28,203.2,102.0582,1999-00,
31,Mitch Richmond,WAS,35,195.58,99.79024,1999-00,
32,Milt Palacio,VAN,22,190.5,88.45044,1999-00,
33,Matt Geiger,PHI,30,215.9,112.490816,1999-00,6889000.0
34,Mario Bennett,LAC,26,198.12,106.59412,1999-00,
35,Marty Conlon,LAC,32,208.28,101.604608,1999-00,
36,Johnny Newman,NJN,36,200.66,95.25432,1999-00,
37,Johnny Taylor,ORL,26,205.74,99.79024,1999-00,
38,Jon Barry,SAC,30,195.58,95.25432,1999-00,
39,Jonathan Bender,IND,19,210.82,91.625584,1999-00,2214000.0
40,Jud Buechler,DET,32,198.12,103.418976,1999-00,
41,Jumaine Jones,PHI,21,203.2,98.883056,1999-00,684000.0
42,John Wallace,NYK,26,205.74,102.0582,1999-00,
43,Juwan Howard,WAS,27,205.74,113.398,1999-00,15000000.0
44,Keith Closs,LAC,24,220.98,96.161504,1999-00,
45,Keith Van Horn,NJN,24,208.28,113.398,1999-00,
46,Kelvin Cato,HOU,25,210.82,115.66596,1999-00,
47,Kendall Gill,NJN,32,195.58,97.975872,1999-00,
48,Kenny Anderson,BOS,29,185.42,76.203456,1999-00,6680000.0
49,Kenny Thomas,HOU,22,203.2,117.93392,1999-00,823000.0
50,Karl Malone,UTA,36,205.74,116.119552,1999-00,14000000.0
51,John Thomas,TOR,24,205.74,120.20188,1999-00,
52,John Stockton,UTA,38,185.42,79.3786,1999-00,
